Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
54540002,2024-07-27,Total,E85,1,0,0
71370004,2024-04-09,Esso,E85,0,1,0
13530001,2024-01-17,Esso,E85,11,2,0
91814001,2024-01-18,Esso,E85,10,7,0
41160001,2024-07-15,Intermarché,E85,4,0,0
73220002,2024-07-24,Esso,E85,0,1,0
34600001,2024-03-16,Systéme U,E85,1,7,0
7220003,2024-07-05,Total,E85,3,0,0
73100001,2024-01-16,Colruyt,E85,0,0,1
38150001,2024-07-18,Total,E85,0,11,0
59450005,2024-02-11,Systéme U,E85,5,0,0
2270001,2024-02-19,Total,E85,3,0,0
30430002,2024-03-28,Total,E85,3,0,0
13680010,2024-03-20,Géant,E85,2,0,0
29290001,2024-01-24,Total,E85,0,1,0
69132001,2024-02-15,Auchan,E85,1,0,0
1000008,2024-05-22,Dyneff,E85,0,1,0
60000011,2024-01-01,Esso,E85,2,0,0
73170001,2024-01-01,Esso,E85,1,0,0
38240003,2024-02-16,Total Access,E85,0,0,7
8130003,2024-06-30,Intermarché,E85,7,0,0
69480005,2024-06-03,Avia,E85,0,2,0
13130002,2024-02-16,Esso,E85,10,0,2
33680003,2024-02-05,Systéme U,E85,1,1,0
59160002,2024-03-15,Avia,E85,3,2,0
13680010,2024-08-04,Esso,E85,0,10,0
33930002,2024-04-06,Intermarché,E85,5,0,0
78500001,2024-03-26,Total Access,E85,47,0,0
84120006,2024-07-22,Avia,E85,0,3,0
30250003,2024-03-26,BP,E85,0,2,0
6156001,2024-03-29,Esso,E85,0,4,0
26300013,2024-03-28,Casino,E85,2,0,0
42290001,2024-04-10,Avia,E85,0,2,0
25480001,2024-05-28,Colruyt,E85,0,1,0
30130003,2024-03-30,Casino,E85,3,2,0
27800001,2024-06-13,Avia,E85,0,2,0
2270001,2024-08-10,CORA,E85,1,0,0
59287002,2024-02-19,Esso,E85,2,1,0
30130003,2024-02-06,ENI,E85,0,1,0
91360003,2024-02-17,Leclerc,E85,7,0,2
50270002,2024-01-08,Intermarché,E85,6,0,0
2220001,2024-01-01,Intermarché,E85,4,0,0
72100002,2024-02-01,Esso,E85,1,0,0
9210001,2024-04-07,Total,E85,8,0,0
93700003,2024-07-18,Intermarché,E85,22,0,0
2250001,2024-08-05,Intermarché,E85,8,0,0
60320001,2024-05-20,Netto,E85,1,0,0
56006001,2024-04-17,Leclerc,E85,2,1,0
78360001,2024-02-04,Avia,E85,2,7,0
63140002,2024-04-24,Systéme U,E85,2,0,0
4700006,2024-04-26,Total Access,E85,2,0,0
6250001,2024-02-16,BP,E85,4,2,0
56190011,2024-05-07,Systéme U,E85,4,0,0
56240003,2024-05-25,Total Access,E85,0,3,0
13160004,2024-03-10,Casino,E85,3,1,0
13680010,2024-08-01,Avia,E85,0,3,0
93700003,2024-01-04,Auchan,E85,4,2,1
62460002,2024-06-05,Total,E85,9,1,0
73170001,2024-07-05,Systéme U,E85,6,0,0
5100004,2024-02-09,Intermarché,E85,1,0,0
71100002,2024-06-27,Avia,E85,0,4,0
60260001,2024-03-17,Systéme U,E85,0,2,0
