Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
78120003,2024-07-24,BP,GPLc,0,4,0
69200001,2024-07-16,Avia,GPLc,0,2,0
13741001,2024-01-20,Leclerc,GPLc,1,0,0
69132001,2024-06-23,Total,GPLc,0,1,0
60280001,2024-01-17,Esso,GPLc,0,1,0
13741001,2024-06-08,Géant,GPLc,2,0,0
17170003,2024-02-02,Total,GPLc,0,1,0
12400001,2024-04-28,Leclerc,GPLc,0,0,1
13220003,2024-01-25,Géant,GPLc,0,2,1
69200001,2024-07-17,Dyneff,GPLc,0,1,0
17170003,2024-06-23,Intermarché,GPLc,0,2,0
94430003,2024-05-10,Leclerc,GPLc,0,1,0
78120003,2024-02-26,Esso,GPLc,0,1,0
69200001,2024-06-21,BP,GPLc,0,3,0
59160002,2024-03-16,Total Access,GPLc,1,4,0
56190011,2024-03-16,Avia,GPLc,0,2,0
78410002,2024-05-25,Avia,GPLc,0,2,0
50300001,2024-03-22,Leclerc,GPLc,1,1,0
31370001,2024-05-03,Intermarché,GPLc,2,0,0
94430003,2024-02-11,Auchan,GPLc,0,1,0
38240003,2024-08-03,Systéme U,GPLc,0,1,0
69200001,2024-03-08,BP,GPLc,0,3,0
59160002,2024-03-02,Auchan,GPLc,0,2,1
69200001,2024-03-03,Auchan,GPLc,1,2,0
30900002,2024-01-03,Intermarché,GPLc,0,2,0
30900002,2024-05-13,Total Access,GPLc,0,0,2
78120003,2024-04-13,BP,GPLc,0,5,0
31170001,2024-04-01,Leclerc,GPLc,2,0,0
30900002,2024-04-27,Total Access,GPLc,0,0,2
13220003,2024-02-12,Géant,GPLc,0,2,1
29290001,2024-01-25,Total Access,GPLc,0,2,0
31190003,2024-06-08,Leclerc,GPLc,1,0,0
74200003,2024-01-03,Total Access,GPLc,0,1,0
60280001,2024-05-19,Total,GPLc,0,1,0
69200001,2024-05-31,Avia,GPLc,0,2,0
94430003,2024-06-17,Auchan,GPLc,0,1,0
12400001,2024-08-01,Leclerc,GPLc,0,0,1
69132001,2024-07-26,BP,GPLc,0,3,0
59160002,2024-05-29,CORA,GPLc,1,2,1
94430003,2024-02-29,Avia,GPLc,0,3,0
29280001,2024-01-11,Total,GPLc,0,1,0
31190003,2024-02-24,Auchan,GPLc,1,0,0
50300001,2024-07-02,Systéme U,GPLc,1,0,0
34600001,2024-02-11,Intermarché,GPLc,1,0,0
62901001,2024-02-03,Esso,GPLc,1,0,0
78120003,2024-04-17,Esso,GPLc,0,1,0
38150001,2024-01-04,ENI,GPLc,0,1,0
31170001,2024-03-06,Leclerc,GPLc,2,0,0
59290001,2024-06-13,Auchan,GPLc,0,3,0
