Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
95800001,2024-02-15,ENI,SP95,0,1,0
56270003,2024-04-15,Casino,SP95,0,1,0
74270001,2024-05-01,Avia,SP95,2,8,0
69540001,2024-02-16,Systéme U,SP95,1,1,0
77346001,2024-03-08,Intermarché,SP95,8,13,0
40400004,2024-05-13,Intermarché,SP95,4,0,0
74570004,2024-01-15,Avia,SP95,1,6,0
78540001,2024-04-12,Elan,SP95,1,0,0
85290010,2024-06-28,Esso,SP95,1,0,0
89100002,2024-01-11,Systéme U,SP95,0,0,1
94012001,2024-03-05,Esso,SP95,0,1,0
2300009,2024-06-11,Leclerc,SP95,2,0,0
3800007,2024-05-31,Total,SP95,0,1,0
66740003,2024-06-14,Esso,SP95,0,1,0
80100003,2024-01-29,Leclerc,SP95,3,0,0
43120001,2024-02-16,Systéme U,SP95,0,1,0
1960001,2024-06-21,Total,SP95,0,7,0
38500002,2024-05-17,Esso,SP95,0,1,0
15100005,2024-01-23,Esso,SP95,0,2,0
21800002,2024-03-14,Avia,SP95,0,10,0
14380001,2024-02-18,Avia,SP95,0,2,0
62610001,2024-03-05,Total,SP95,0,1,0
40220006,2024-02-11,Leclerc,SP95,3,4,0
50170005,2024-05-05,Systéme U,SP95,8,0,0
53160002,2024-05-03,Leclerc,SP95,1,0,0
34920001,2024-01-08,Dyneff,SP95,1,3,0
16140002,2024-05-11,Total,SP95,0,1,0
14053001,2024-08-07,Systéme U,SP95,2,6,1
91700003,2024-03-22,Systéme U,SP95,5,1,0
77360001,2024-02-17,Elan,SP95,0,1,0
29420003,2024-06-24,Leclerc,SP95,6,1,0
95800001,2024-03-29,G20,SP95,0,1,0
77140003,2024-06-11,Total,SP95,0,3,0
14390001,2024-01-07,Systéme U,SP95,7,1,0
88230002,2024-06-26,Auchan,SP95,0,1,0
95800001,2024-01-01,Leclerc,SP95,11,2,0
50300004,2024-04-19,Leclerc,SP95,1,0,0
45330002,2024-01-03,Total,SP95,0,2,0
54530002,2024-05-04,Total,SP95,0,4,0
18400004,2024-04-27,Systéme U,SP95,0,1,1
38620002,2024-04-21,Systéme U,SP95,5,0,0
1000001,2024-05-12,Netto,SP95,1,0,0
74200003,2024-05-08,Leclerc,SP95,2,1,0
44420003,2024-08-01,Intermarché,SP95,1,0,1
77140003,2024-01-08,Avia,SP95,0,4,0
40700004,2024-07-06,Intermarché,SP95,5,0,0
69680002,2024-01-07,Casino,SP95,0,1,0
42120001,2024-06-02,Total,SP95,0,5,0
77170005,2024-01-27,Intermarché,SP95,11,5,3
40410002,2024-06-05,Intermarché,SP95,0,4,0
71490005,2024-07-12,Systéme U,SP95,2,0,0
42600001,2024-02-28,Esso,SP95,0,1,0
64220004,2024-06-02,Elan,SP95,0,1,0
76133001,2024-05-23,Auchan,SP95,0,0,1
91360003,2024-02-03,ENI,SP95,0,2,0
69260007,2024-04-07,Systéme U,SP95,0,1,0
77165002,2024-04-15,Total,SP95,0,4,0
73000001,2024-01-13,Simply Market,SP95,0,1,0
61160001,2024-03-14,Leclerc,SP95,3,0,0
13545001,2024-05-31,Casino,SP95,1,1,0
62120001,2024-04-14,Leclerc,SP95,5,0,0
3500002,2024-07-13,Leclerc,SP95,0,1,0
62330001,2024-03-25,Intermarché,SP95,0,4,0
38240003,2024-02-18,Leclerc,SP95,1,0,0
40250001,2024-01-13,Total,SP95,0,4,0
38431001,2024-02-08,Netto,SP95,1,1,0
83560005,2024-05-14,Auchan,SP95,1,0,0
22650002,2024-06-29,Intermarché,SP95,4,0,0
1510003,2024-07-14,Simply Market,SP95,0,1,0
47340001,2024-02-25,Systéme U,SP95,1,0,0
91814001,2024-04-30,Auchan,SP95,2,7,0
62160001,2024-07-15,Leclerc,SP95,7,0,0
14390001,2024-05-28,Leclerc,SP95,3,0,0
35720004,2024-03-31,Elan,SP95,0,1,0
62138002,2024-01-10,Casino,SP95,0,2,0
76850001,2024-05-12,Leclerc,SP95,2,4,0
38640001,2024-07-13,Elan,SP95,0,3,0
38230001,2024-07-06,Total,SP95,0,9,0
33450007,2024-02-01,Avia,SP95,0,2,0
7300001,2024-05-09,ENI,SP95,0,1,0
57190001,2024-02-05,Leclerc,SP95,4,0,0
27210008,2024-07-10,Systéme U,SP95,0,0,2
86220001,2024-05-13,Avia,SP95,0,1,0
14700001,2024-07-02,G20,SP95,0,1,0
61160001,2024-06-10,Systéme U,SP95,3,0,0
27520001,2024-06-01,Systéme U,SP95,0,4,0
49650003,2024-04-29,Total,SP95,0,2,0
44390004,2024-03-06,Leclerc,SP95,0,3,0
42210001,2024-02-14,Total,SP95,1,7,0
95270002,2024-02-11,Avia,SP95,0,4,0
91700003,2024-03-02,Systéme U,SP95,3,3,0
94204001,2024-06-05,Elan,SP95,0,1,0
31840001,2024-01-28,Netto,SP95,1,0,0
76940001,2024-04-20,Total,SP95,1,3,0
3630004,2024-04-22,Auchan,SP95,0,1,0
29140009,2024-07-08,Systéme U,SP95,3,0,0
21320004,2024-05-03,Elan,SP95,1,0,0
1200003,2024-02-28,Avia,SP95,1,7,0
95150002,2024-03-08,G20,SP95,1,0,0
2000003,2024-03-12,Systéme U,SP95,1,0,0
40400004,2024-02-09,Systéme U,SP95,2,0,0
33580002,2024-05-26,Intermarché,SP95,7,0,0
11160003,2024-05-07,Total,SP95,0,3,0
59211002,2024-05-19,Leclerc,SP95,7,0,0
60280001,2024-04-16,Avia,SP95,0,1,0
73000001,2024-07-23,Esso,SP95,0,1,0
31190003,2024-04-06,Intermarché,SP95,5,4,0
60320001,2024-04-19,Total,SP95,0,3,0
56006001,2024-07-03,Casino,SP95,0,1,0
65400001,2024-07-10,Intermarché,SP95,1,3,0
44450003,2024-07-31,Auchan,SP95,1,0,0
42370003,2024-03-02,Avia,SP95,0,6,1
76720003,2024-02-29,Leclerc,SP95,4,2,1
1960001,2024-02-09,Netto,SP95,1,0,0
63200006,2024-07-09,Leclerc,SP95,1,0,2
50300004,2024-05-29,Total,SP95,1,3,0
66530001,2024-04-20,Esso,SP95,0,1,0
5500002,2024-02-06,Avia,SP95,0,2,0
3400004,2024-04-29,Total,SP95,0,1,0
23230001,2024-04-06,Leclerc,SP95,3,0,1
76133001,2024-07-28,Auchan,SP95,0,0,1
94012001,2024-04-02,Total Access,SP95,1,0,0
24170002,2024-03-26,Total,SP95,0,5,0
1300001,2024-06-30,Systéme U,SP95,5,1,0
56000003,2024-07-01,Elan,SP95,0,2,0
35720004,2024-07-23,Systéme U,SP95,10,1,0
87000002,2024-02-23,Leclerc,SP95,0,0,3
56270003,2024-03-22,Systéme U,SP95,2,0,0
78700002,2024-05-16,CORA,SP95,0,1,0
63500002,2024-04-15,Total,SP95,0,2,0
77540002,2024-05-10,Intermarché,SP95,5,4,0
80100003,2024-07-04,Total,SP95,0,3,0
60260001,2024-04-08,Auchan,SP95,3,3,0
37420003,2024-05-30,Elan,SP95,0,2,0
31140004,2024-04-29,Dyneff,SP95,0,1,0
38620002,2024-01-15,Leclerc,SP95,3,0,0
21800002,2024-04-12,Leclerc,SP95,1,0,0
29280001,2024-06-27,Leclerc,SP95,3,8,0
3800007,2024-06-23,Intermarché,SP95,1,2,0
23200001,2024-03-11,Systéme U,SP95,0,1,0
60000011,2024-02-19,Elan,SP95,0,1,0
42800001,2024-03-16,Auchan,SP95,1,1,0
68240004,2024-01-06,Systéme U,SP95,0,11,0
43120001,2024-01-02,Systéme U,SP95,0,1,0
13014001,2024-04-13,Systéme U,SP95,3,0,0
74500002,2024-03-21,Intermarché,SP95,0,2,0
72000012,2024-07-12,Systéme U,SP95,13,1,0
5400004,2024-03-16,Elan,SP95,0,2,0
78470001,2024-05-02,Auchan,SP95,4,4,0
78410002,2024-02-02,Systéme U,SP95,4,2,0
2230002,2024-05-05,Intermarché,SP95,2,3,0
42430001,2024-01-18,Esso,SP95,0,2,0
80410004,2024-04-05,Leclerc,SP95,2,0,0
54290001,2024-06-08,Total,SP95,0,4,0
82210003,2024-07-24,Systéme U,SP95,1,1,0
40410002,2024-01-04,Total,SP95,0,1,0
31420003,2024-02-18,Intermarché,SP95,1,1,0
14112001,2024-07-16,Elan,SP95,0,1,0
72300003,2024-05-26,Intermarché,SP95,2,1,0
78440001,2024-03-15,Intermarché,SP95,3,4,0
45330002,2024-01-22,Total,SP95,0,2,0
40380003,2024-01-08,Systéme U,SP95,2,0,0
48300001,2024-04-13,Avia,SP95,2,1,0
80160003,2024-06-22,Elan,SP95,0,2,0
54290001,2024-03-22,Systéme U,SP95,1,0,0
73000001,2024-07-18,Netto,SP95,1,0,0
71190003,2024-04-14,Total,SP95,0,2,0
1220001,2024-04-05,Elan,SP95,1,1,0
12120001,2024-01-08,Total,SP95,0,13,0
93700003,2024-04-05,Elan,SP95,1,0,0
62250009,2024-05-06,Leclerc,SP95,3,1,0
29750001,2024-04-23,Systéme U,SP95,2,0,3
59190002,2024-08-03,Intermarché,SP95,1,3,0
40250001,2024-01-26,Netto,SP95,0,0,1
94204001,2024-06-30,Netto,SP95,0,1,0
33320009,2024-03-02,Total Access,SP95,1,0,0
78520002,2024-04-20,Systéme U,SP95,4,0,0
62101001,2024-01-29,Leclerc,SP95,0,3,0
3400004,2024-02-08,Avia,SP95,0,9,0
44450003,2024-07-13,Leclerc,SP95,2,2,0
60260001,2024-04-15,Avia,SP95,0,4,0
91630001,2024-02-08,Avia,SP95,0,4,0
1600001,2024-06-29,Netto,SP95,2,0,0
39130008,2024-05-12,Intermarché,SP95,2,0,0
3120002,2024-04-05,Leclerc,SP95,0,0,1
80150003,2024-04-16,Total,SP95,0,3,0
93240001,2024-01-26,ENI,SP95,1,1,0
50700001,2024-05-27,Leclerc,SP95,5,0,0
77140003,2024-02-20,Intermarché,SP95,9,0,0
38300020,2024-02-03,Netto,SP95,2,0,0
38360001,2024-08-06,Total,SP95,0,2,0
44000001,2024-06-30,Elan,SP95,0,2,0
76440008,2024-05-29,Systéme U,SP95,4,0,0
73200001,2024-01-06,Leclerc,SP95,1,0,0
59141002,2024-06-28,Intermarché,SP95,1,1,2
91160010,2024-03-20,Simply Market,SP95,0,2,0
28290001,2024-04-22,Intermarché,SP95,3,1,0
79150002,2024-01-22,Intermarché,SP95,3,0,0
24100007,2024-02-28,Netto,SP95,0,1,0
61430002,2024-01-02,Leclerc,SP95,5,0,0
95370001,2024-02-21,ENI,SP95,1,1,0
42600001,2024-02-25,Leclerc,SP95,6,0,0
14780002,2024-02-28,Intermarché,SP95,0,1,0
77140003,2024-02-16,Systéme U,SP95,1,0,0
1960001,2024-01-14,Avia,SP95,0,9,0
66530001,2024-01-12,Esso,SP95,0,1,0
69700001,2024-01-01,Casino,SP95,0,1,0
69200001,2024-02-26,Dyneff,SP95,0,1,0
15250006,2024-05-16,Systéme U,SP95,1,0,0
27500002,2024-06-29,Leclerc,SP95,3,0,0
76250001,2024-01-27,Leclerc,SP95,6,0,0
15000017,2024-07-30,Leclerc,SP95,0,1,0
67680001,2024-05-14,Simply Market,SP95,0,1,0
18160001,2024-07-03,Avia,SP95,0,1,0
68320002,2024-05-25,Avia,SP95,0,3,0
29760004,2024-01-14,Total,SP95,0,1,0
22500001,2024-06-23,Total,SP95,0,3,0
44720005,2024-04-09,Intermarché,SP95,3,0,0
43220001,2024-03-11,Dyneff,SP95,0,1,0
24580001,2024-08-05,Systéme U,SP95,2,1,0
66530001,2024-01-21,Leclerc,SP95,2,0,0
69220001,2024-03-07,Elan,SP95,0,1,0
54380007,2024-01-06,G20,SP95,1,0,0
38190001,2024-03-21,Elan,SP95,0,4,0
14380001,2024-06-15,Leclerc,SP95,1,0,0
60420001,2024-07-09,Leclerc,SP95,3,3,0
76360001,2024-01-11,Systéme U,SP95,0,3,0
45250001,2024-01-31,Total,SP95,0,2,0
80100001,2024-05-15,Intermarché,SP95,5,0,0
34540001,2024-06-27,Avia,SP95,0,2,0
64100010,2024-07-09,Total,SP95,0,4,0
9350003,2024-03-07,Elan,SP95,0,1,0
62550002,2024-07-04,Elan,SP95,0,1,0
11150001,2024-04-03,Casino,SP95,1,0,0
31120001,2024-05-25,Esso,SP95,0,1,0
12260006,2024-03-11,Intermarché,SP95,4,1,0
73170001,2024-03-29,Total,SP95,0,4,0
12160003,2024-02-05,Leclerc,SP95,0,2,0
6260002,2024-06-25,Dyneff,SP95,0,2,0
77170005,2024-05-20,Total,SP95,0,4,0
12170001,2024-02-26,Dyneff,SP95,0,1,0
59221001,2024-02-27,Auchan,SP95,0,1,0
50110006,2024-01-11,Systéme U,SP95,0,3,1
77570001,2024-07-29,Total,SP95,0,3,0
93270001,2024-02-19,Esso,SP95,0,2,0
38431001,2024-03-24,Esso,SP95,0,1,0
95280001,2024-03-07,Avia,SP95,0,4,0
32600002,2024-04-25,Dyneff,SP95,0,1,0
3270001,2024-07-22,Esso,SP95,0,1,0
45240001,2024-04-03,Avia,SP95,0,1,0
27240001,2024-08-07,Leclerc,SP95,3,0,0
88025001,2024-02-20,Total,SP95,0,3,0
48300001,2024-02-10,Total,SP95,0,2,0
68313001,2024-07-13,Intermarché,SP95,0,1,0
38431001,2024-07-13,Esso,SP95,0,1,0
11160003,2024-03-10,Systéme U,SP95,0,2,0
38110006,2024-02-05,Total,SP95,0,6,0
30430002,2024-01-27,Leclerc,SP95,3,0,0
69700001,2024-05-14,Leclerc,SP95,9,3,0
60650006,2024-01-21,Elan,SP95,0,1,0
71250008,2024-07-01,Total Access,SP95,1,0,0
76400001,2024-04-30,Auchan,SP95,1,0,0
74140002,2024-08-03,Intermarché,SP95,3,4,0
44000001,2024-07-07,Elan,SP95,0,2,0
32130003,2024-08-11,Intermarché,SP95,2,3,0
59111001,2024-08-11,Total,SP95,0,3,0
91200001,2024-07-19,Elan,SP95,0,1,0
67690001,2024-06-21,Simply Market,SP95,0,1,0
40500001,2024-06-15,Total,SP95,0,3,0
59123001,2024-07-12,Intermarché,SP95,1,1,0
54360003,2024-02-11,Systéme U,SP95,0,1,0
3100001,2024-03-30,Systéme U,SP95,0,2,0
6560001,2024-07-10,Elan,SP95,0,2,0
64230006,2024-02-22,Casino,SP95,1,0,0
21000001,2024-06-23,Intermarché,SP95,3,1,0
74340001,2024-01-26,Systéme U,SP95,1,1,0
86580002,2024-05-29,Systéme U,SP95,0,0,1
78885001,2024-01-08,Shell,SP95,0,1,0
45100004,2024-07-12,Systéme U,SP95,1,1,1
13463001,2024-06-05,Dyneff,SP95,0,1,0
67680001,2024-01-21,Esso,SP95,0,1,0
14320003,2024-02-26,Total,SP95,0,1,0
7300001,2024-01-27,Total,SP95,0,5,0
60410003,2024-01-21,Intermarché,SP95,9,2,0
3100001,2024-06-12,Intermarché,SP95,2,2,1
80210001,2024-07-04,Elan,SP95,0,1,0
69680002,2024-01-26,Netto,SP95,2,0,0
88410001,2024-03-13,Intermarché,SP95,1,1,0
21800010,2024-05-11,Netto,SP95,0,1,0
50420002,2024-04-20,Systéme U,SP95,2,0,0
30430002,2024-05-03,Total,SP95,1,0,2
56320002,2024-06-14,Total,SP95,0,2,0
76680001,2024-05-10,Leclerc,SP95,6,0,0
7110004,2024-07-07,Leclerc,SP95,1,0,0
24240003,2024-06-18,Elan,SP95,0,2,0
62215006,2024-05-03,Total,SP95,0,1,0
7190001,2024-01-24,Intermarché,SP95,6,0,0
69132001,2024-03-12,Netto,SP95,1,1,0
1340005,2024-04-18,Colruyt,SP95,0,2,0
91150005,2024-01-02,Elan,SP95,0,1,0
13014001,2024-05-13,Auchan,SP95,0,2,0
94430003,2024-05-02,Total,SP95,0,5,0
49230002,2024-03-14,Auchan,SP95,1,0,0
34600001,2024-02-29,Total,SP95,0,4,0
85540003,2024-07-26,Systéme U,SP95,5,0,0
87220002,2024-03-15,Total,SP95,0,7,0
42220006,2024-06-13,Leclerc,SP95,4,5,1
80460003,2024-05-14,Total,SP95,0,3,0
69420001,2024-06-05,Leclerc,SP95,11,2,0
33370016,2024-08-10,Netto,SP95,0,1,0
76250001,2024-06-08,Esso,SP95,0,1,0
66220001,2024-07-24,Esso,SP95,0,1,0
41260001,2024-02-04,Total,SP95,0,1,0
24580001,2024-02-09,Leclerc,SP95,0,2,0
3100001,2024-03-09,Auchan,SP95,0,1,0
95270001,2024-03-23,Leclerc,SP95,23,0,0
62161001,2024-06-13,Total Access,SP95,1,0,0
95370001,2024-02-05,Systéme U,SP95,2,3,0
42540002,2024-02-13,Avia,SP95,0,7,0
63490002,2024-05-22,Intermarché,SP95,5,0,0
35850003,2024-02-26,Leclerc,SP95,3,0,0
77480002,2024-03-01,Intermarché,SP95,2,4,0
12120001,2024-06-13,Systéme U,SP95,0,3,0
78540001,2024-03-23,Auchan,SP95,3,1,0
77000003,2024-04-24,Esso,SP95,1,2,0
17250002,2024-07-12,Avia,SP95,0,1,0
79800012,2024-08-10,Total,SP95,0,2,0
69590001,2024-02-09,Total,SP95,0,11,0
13741001,2024-08-05,Systéme U,SP95,3,0,0
93270001,2024-04-26,BP,SP95,0,1,0
91150005,2024-02-15,ENI,SP95,0,1,0
76370001,2024-01-31,Esso,SP95,1,0,0
16140002,2024-04-06,Elan,SP95,0,1,0
43100001,2024-07-06,Leclerc,SP95,1,0,0
38070001,2024-05-28,Leclerc,SP95,1,6,2
29170005,2024-03-04,Total,SP95,0,2,0
21000001,2024-06-03,Netto,SP95,1,0,0
33130002,2024-01-23,Netto,SP95,1,0,0
60260001,2024-05-01,Shell,SP95,0,1,0
42800001,2024-05-21,Avia,SP95,0,12,0
77170005,2024-03-07,Intermarché,SP95,10,5,5
74910003,2024-04-11,Intermarché,SP95,5,0,0
27350001,2024-04-13,Intermarché,SP95,3,0,0
63500002,2024-05-18,Intermarché,SP95,2,2,1
59190002,2024-03-19,Casino,SP95,0,2,0
78470001,2024-03-22,G20,SP95,0,1,0
68240004,2024-07-10,Colruyt,SP95,0,2,0
38220001,2024-02-23,Total,SP95,0,1,0
33250003,2024-05-13,Total Access,SP95,1,0,0
80230003,2024-06-25,Leclerc,SP95,1,1,0
95800001,2024-03-15,BP,SP95,0,1,0
23130002,2024-03-08,Systéme U,SP95,0,1,0
26200001,2024-01-14,Intermarché,SP95,3,7,1
76570001,2024-06-22,Leclerc,SP95,5,1,0
33450007,2024-05-07,Total Access,SP95,1,0,0
86700001,2024-07-09,Netto,SP95,1,0,0
2600006,2024-01-04,Intermarché,SP95,3,1,0
71250008,2024-01-03,Casino,SP95,1,0,0
