Date,id,Gazole,SP95,SP98,E10,E85,GPLc,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type,Enseigne
2024-05-07,6560001,1.694,1.912,1.965,0.0,0.0,0.0,6560001,Carrefour Market,4364500.0,704900.0,6560,Chemin du Darbousson,VALBONNE,grande_marque,Carrefour
2024-02-10,12200002,1.755,1.809,1.839,1.759,0.0,0.0,12200002,Carrefour,4436100.0,203400.0,12200,Avenue de Toulouse,VILLEFRANCHE-DE-ROUERGUE,grande_marque,Carrefour
2024-05-10,9210001,1.719,0.0,1.998,1.899,0.949,0.0,9210001,Carrefour Market,4328100.0,134800.0,9210,La Sinsole,LEZAT SUR LEZE,grande_marque,Carrefour
2024-01-20,77540002,1.755,1.815,1.83,0.0,0.0,0.0,77540002,Carrefour Market,4867700.0,296900.0,77540,56 rue de vilpré,Rozay-en-Brie,grande_marque,Carrefour
2024-03-21,12260006,1.885,1.935,1.965,0.0,0.0,0.0,12260006,Carrefour Contact,4443200.0,203100.0,12260,AVENUE DU ROUERGUE,Villeneuve,grande_marque,Carrefour
2024-08-07,77230009,1.716,1.879,1.919,1.826,0.899,0.0,77230009,Carrefour,4904100.0,268600.0,77230,5 avenue des deux Moulins,Saint-Mard,grande_marque,Carrefour
2024-02-07,73170001,1.76,1.829,0.0,0.0,0.956,0.0,73170001,Carrefour Market,4570500.0,576900.0,73170,RN504,Yenne,grande_marque,Carrefour
2024-01-12,77390003,1.771,0.0,1.871,1.793,0.0,0.0,77390003,Carrefour Market,4863502.0,279900.0,77390,L OREE DE GUIGNES,GUIGNES,grande_marque,Carrefour
2024-08-08,78360002,1.826,0.0,1.961,1.88,0.0,0.0,78360002,Carrefour Market,4890666.0,211625.0,78360,40 Avenue Gabriel Péri,MONTESSON,grande_marque,Carrefour
2024-05-20,29140009,1.699,1.879,1.919,0.0,0.0,0.0,29140009,Carrefour Contact,4790841.1231294,-383794.93198518,29140,ROUTE DE CADOL,MELGVEN,grande_marque,Carrefour
2024-01-18,6260002,1.669,1.749,1.779,0.0,0.0,0.0,6260002,Carrefour Market,4395475.5139463,689044.101879,6260,RN 202 Quartier St-Roch,PUGET-THENIERS,grande_marque,Carrefour
2024-02-21,76500005,1.839,0.0,1.899,1.811,0.0,0.0,76500005,Carrefour Market,4928600.0,100900.0,76500,7 rue du Neubourg,ELBEUF,grande_marque,Carrefour
2024-03-12,82140003,1.769,0.0,1.919,1.829,0.0,0.0,82140003,Carrefour Contact,4415000.0,174900.0,82140,115 CHEMIN DE FONTALES,Saint-Antonin-Noble-Val,grande_marque,Carrefour
